Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,ATC LEVEL,Is Drug Class,Semantic type UMLS property
ATC/D07CB02,fluprednidene and antibiotics,,,false,C3652763,STY/T121,ATC/D07CB,5,,STY/T121
ATC/R06AA,"Aminoalkyl ethers, systemic antihistamines",Aminoalkyl ethers,,false,C3653467,STY/T109|STY/T121,ATC/R06A,4,Y,STY/T109|STY/T121
ATC/A03BB04,fentonium,,,false,C0060206,STY/T109|STY/T121,ATC/A03BB,5,,STY/T109|STY/T121
ATC/V09I,TUMOUR DETECTION RADIOPHARMACEUTICALS,TUMOUR DETECTION,,false,C3653975,STY/T130,ATC/V09,3,Y,STY/T130
ATC/D10AD06,trifarotene,,,false,C4519213,STY/T109|STY/T121,ATC/D10AD,5,,STY/T109|STY/T121
ATC/D02AA,Silicone emollient and protective products,Silicone products,,false,C3653369,STY/T121,ATC/D02A,4,Y,STY/T121
ATC/A10BD10,metformin and saxagliptin,,,false,C2960912,STY/T121,ATC/A10BD,5,,STY/T121
ATC/D05AX03,calcitriol,,,false,C0006674,STY/T127|STY/T109|STY/T121,ATC/D05AX,5,,STY/T127|STY/T109|STY/T121
ATC/S02AA30,"antiinfectives, combinations",,,false,C3652442,STY/T121,ATC/S02AA,5,,STY/T121
ATC/J01DD51,cefotaxime and beta-lactamase inhibitor,,,false,C4542192,STY/T121,ATC/J01DD,5,,STY/T121
ATC/B05DB,Hypertonic solutions,,,false,C0020554,STY/T121,ATC/B05D,4,Y,STY/T121
ATC/M04A,ANTIGOUT PREPARATIONS,,,false,C0018100,STY/T121,ATC/M04,3,Y,STY/T121
ATC/D01BA03,fosravuconazole,,,false,C5139863,STY/T109|STY/T121,ATC/D01BA,5,,STY/T109|STY/T121
ATC/J01MA18,pazufloxacin,,,false,C0175022,STY/T109|STY/T121,ATC/J01MA,5,,STY/T109|STY/T121
ATC/L01EG03,ridaforolimus,,,false,C2713007,STY/T109|STY/T121,ATC/L01EG,5,,STY/T109|STY/T121
ATC/A01AB15,tibezonium iodide,,,false,C0772481,STY/T109|STY/T121,ATC/A01AB,5,,STY/T109|STY/T121
